,Unnamed: 0,SMILES,RT,Speed,i-PrOH_proportion,Literature,Column
735,735,C[C@@H](C#C[Si](C)(C)C)c1ccccc1C(=O)NC(C)(C)C,7.98,0.6,0.01,10.1038/s41467/019/13705/1,IA
736,736,C[C@H](C#C[Si](C)(C)C)c1ccccc1C(=O)NC(C)(C)C,7.52,0.6,0.01,10.1038/s41467/019/13705/1,IA
763,763,Cc1cccc(c1)[C@@H]2[C@@H](CCCN2Cc3ccccc3)N4C(=O)c5ccccc5C4=O,7.133,0.8,0.1,10.1021/acs.orglett.0c03261,IA
764,764,C\C(=C/[C@@H]1CC(CN1C(=S)Nc2ccc(cc2)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccccc5,8.37,1.0,0.2,10.1002/anie.201900955,IA
765,765,C\C(=C/[C@H]1CC(CN1C(=S)Nc2ccc(cc2)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccccc5,7.65,1.0,0.2,10.1002/anie.201900955,IA
787,787,O=C1N([C@@H]2CCCN(Cc3ccccc3)[C@@H]2c4ccccc4)C(=O)c5ccccc15,7.228,0.8,0.15,10.1021/acs.orglett.0c03261,IA
819,819,Fc1cccc(c1)[C@@H]2[C@@H](CCCN2Cc3ccccc3)N4C(=O)c5ccccc5C4=O,7.218,0.8,0.15,10.1021/acs.orglett.0c03261,IA
860,860,CC(C)c1ccc2C(=O)N(c3cccc4cccnc34)[C@@]5(CC(=O)N(C5=O)C(C)(C)C)c2c1,6.8,1.0,0.4,10.1002/anie.202108853,IA
861,861,CC(C)c1ccc2C(=O)N(c3cccc4cccnc34)[C@]5(CC(=O)N(C5=O)C(C)(C)C)c2c1,8.0,1.0,0.4,10.1002/anie.202108853,IA
930,930,C\C(=C/[C@@H]1CC(CN1C(=S)Nc2ccc(cc2)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccccc5,9.38,1.0,0.2,10.1002/anie.201900955,IA
931,931,C\C(=C/[C@H]1CC(CN1C(=S)Nc2ccc(cc2)C(F)(F)F)(c3ccccc3)c4ccccc4)c5ccccc5,8.21,1.0,0.2,10.1002/anie.201900955,IA
969,969,Clc1cccc(c1)[C@@H]2[C@@H](CCCN2Cc3ccccc3)N4C(=O)c5ccccc5C4=O,7.252,0.8,0.15,10.1021/acs.orglett.0c03261,IA
1076,1076,Cc1ccc(cc1)[C@@H]2[C@@H](CCCN2Cc3ccccc3)N4C(=O)c5ccccc5C4=O,7.03,0.8,0.15,10.1021/acs.orglett.0c03261,IA
1106,1106,COc1ccc(cc1)C(=O)N[C@H](CC(F)(F)F)c2c[nH]c3c(OC)cccc23,6.0,1.0,0.2,10.1039/D1SC06613G,IA
1107,1107,COc1ccc(cc1)C(=O)N[C@@H](CC(F)(F)F)c2c[nH]c3c(OC)cccc23,8.7,1.0,0.2,10.1039/D1SC06613G,IA
1118,1118,Fc1ccc(cc1)[C@@H]2[C@@H](CCCN2Cc3ccccc3)N4C(=O)c5ccccc5C4=O,7.636,0.8,0.15,10.1021/acs.orglett.0c03261,IA
1167,1167,COc1cccc(c1)[C@@H]2[C@@H](CCCN2Cc3ccccc3)N4C(=O)c5ccccc5C4=O,8.043,0.8,0.15,10.1021/acs.orglett.0c03261,IA
1200,1200,Clc1ccc(cc1)[C@@H]2[C@@H](CCCN2Cc3ccccc3)N4C(=O)c5ccccc5C4=O,7.78,0.8,0.15,10.1021/acs.orglett.0c03261,IA
1243,1243,Cc1ccc(cc1)[S](=O)(=O)N2CC[C@@H](CC(=O)NC(C)(C)c3ccccn3)c4cc(ccc24)C(F)(F)F,11.0,1.0,0.2,10.1039/D1QO00302J,IA
1244,1244,Cc1ccc(cc1)[S](=O)(=O)N2CC[C@H](CC(=O)NC(C)(C)c3ccccn3)c4cc(ccc24)C(F)(F)F,9.1,1.0,0.2,10.1039/D1QO00302J,IA
1382,1382,CC(C)(C)N1C(=O)C[C@@]2(N(C(=O)c3ccc(Br)cc23)c4cccc5cccnc45)C1=O,7.5,1.0,0.4,10.1002/anie.202108853,IA
1383,1383,CC(C)(C)N1C(=O)C[C@]2(N(C(=O)c3ccc(Br)cc23)c4cccc5cccnc45)C1=O,9.5,1.0,0.4,10.1002/anie.202108853,IA
1384,1384,CC(C)(C)c1ccc2OCC[C@@H](CC(=O)NC(C)(C)c3ccccn3)c2c1,10.7,1.0,0.1,10.1021/acs.orglett.0c03775,IA
1385,1385,CC(C)(C)c1ccc2OCC[C@H](CC(=O)NC(C)(C)c3ccccn3)c2c1,9.5,1.0,0.1,10.1021/acs.orglett.0c03775,IA
1409,1409,COc1ccc(C[C@H](C)C[S](=O)(=O)c2ccc(C)cc2)cc1,8.82,0.5,0.05,10.1039/C8QO01291A,IA
1410,1410,COc1ccc(C[C@@H](C)C[S](=O)(=O)c2ccc(C)cc2)cc1,9.56,0.5,0.05,10.1039/C8QO01291A,IA
1468,1468,CC(C)(C)N1C(=O)C[C@@]2(N(C(=O)c3ccc(I)cc23)c4cccc5cccnc45)C1=O,7.4,1.0,0.4,10.1002/anie.202108853,IA
1469,1469,CC(C)(C)N1C(=O)C[C@]2(N(C(=O)c3ccc(I)cc23)c4cccc5cccnc45)C1=O,9.8,1.0,0.4,10.1002/anie.202108853,IA
1470,1470,Cc1ccc2C(=O)N(c3cccc4cccnc34)[C@@]5(CC(=O)N(C5=O)C(C)(C)C)c2c1,7.6,1.0,0.4,10.1002/anie.202108853,IA
1471,1471,Cc1ccc2C(=O)N(c3cccc4cccnc34)[C@]5(CC(=O)N(C5=O)C(C)(C)C)c2c1,9.8,1.0,0.4,10.1002/anie.202108853,IA
1494,1494,CCOC(=O)N1C=Cc2c(Br)cccc2[C@@H]1\C(=N\N)C(=O)OCC,12.439,0.5,0.3,10.1039/D0CC03201H,IA
1495,1495,CCOC(=O)N1C=Cc2c(Br)cccc2[C@H]1\C(=N\N)C(=O)OCC,9.891,0.5,0.3,10.1039/D0CC03201H,IA
1500,1500,COC(=O)c1ccc2C(=O)N(c3cccc4cccnc34)[C@@]5(CC(=O)N(C5=O)C(C)(C)C)c2c1,7.4,1.0,0.4,10.1002/anie.202108853,IA
1501,1501,COC(=O)c1ccc2C(=O)N(c3cccc4cccnc34)[C@]5(CC(=O)N(C5=O)C(C)(C)C)c2c1,9.9,1.0,0.4,10.1002/anie.202108853,IA
1609,1609,O=C1N([C@@H]2CCCN(Cc3ccccc3)[C@@H]2c4ccc(cc4)c5ccccc5)C(=O)c6ccccc16,9.035,0.8,0.15,10.1021/acs.orglett.0c03261,IA
1686,1686,CCOC(=O)N1C=Cc2cc(ccc2[C@@H]1C(=[N+]=[N-])[P](=O)(OC)OC)C(C)(C)C,20.991,0.5,0.3,10.1039/D0CC03201H,IA
1687,1687,CCOC(=O)N1C=Cc2cc(ccc2[C@H]1C(=[N+]=[N-])[P](=O)(OC)OC)C(C)(C)C,10.496,0.5,0.3,10.1039/D0CC03201H,IA
1726,1726,CC(C)O[P](=O)(OC(C)C)C(=[N+]=[N-])[C@@]1(NC(=O)OC(C)(C)C)C(=O)N(C)c2ccccc12,8.293,0.5,0.3,10.1021/acs.orglett.6b02095,IA
1727,1727,CC(C)O[P](=O)(OC(C)C)C(=[N+]=[N-])[C@]1(NC(=O)OC(C)(C)C)C(=O)N(C)c2ccccc12,10.552,0.5,0.3,10.1021/acs.orglett.6b02095,IA
1781,1781,Cc1cccc(c1)[C@H]2CCC(=O)N2,12.1,0.8,0.1,10.1021/acs.orglett.0c00669,IA
1782,1782,Cc1cccc(c1)[C@@H]2CCC(=O)N2,10.7,0.8,0.1,10.1021/acs.orglett.0c00669,IA
1787,1787,CCOC(=O)N1C=Cc2c(Cl)cccc2[C@@H]1C(=[N+]=[N-])[P](=O)(OC)OC,13.255,0.5,0.3,10.1039/D0CC03201H,IA
1788,1788,CCOC(=O)N1C=Cc2c(Cl)cccc2[C@H]1C(=[N+]=[N-])[P](=O)(OC)OC,10.716,0.5,0.3,10.1039/D0CC03201H,IA
1812,1812,CC(C)(C)N1C(=O)C[C@@]2(N(C(=O)C=C2c3ccccc3)c4cccc5cccnc45)C1=O,9.2,1.0,0.4,10.1002/anie.202108853,IA
1813,1813,CC(C)(C)N1C(=O)C[C@]2(N(C(=O)C=C2c3ccccc3)c4cccc5cccnc45)C1=O,10.8,1.0,0.4,10.1002/anie.202108853,IA
1838,1838,CCOC(=O)N1C=Cc2c(Br)cccc2[C@@H]1C(=[N+]=[N-])[P](=O)(OC)OC,13.524,0.5,0.3,10.1039/D0CC03201H,IA
1839,1839,CCOC(=O)N1C=Cc2c(Br)cccc2[C@H]1C(=[N+]=[N-])[P](=O)(OC)OC,10.851,0.5,0.3,10.1039/D0CC03201H,IA
1858,1858,C[C@H]1NC(=O)c2cc(C)ccc12,9.9,0.8,0.1,10.1021/acs.orglett.0c00669,IA
1859,1859,C[C@@H]1NC(=O)c2cc(C)ccc12,10.9,0.8,0.1,10.1021/acs.orglett.0c00669,IA
1860,1860,CC(C)(C)c1ccc(cc1)[C@H]2CCC(=O)N2,12.1,0.8,0.1,10.1021/acs.orglett.0c00669,IA
1861,1861,CC(C)(C)c1ccc(cc1)[C@@H]2CCC(=O)N2,10.9,0.8,0.1,10.1021/acs.orglett.0c00669,IA
1894,1894,CCOC(=O)N1C=Cc2cc(ccc2[C@@H]1C(=[N+]=[N-])[P](=O)(OC)OC)C(C)C,21.76,0.5,0.3,10.1039/D0CC03201H,IA
1895,1895,CCOC(=O)N1C=Cc2cc(ccc2[C@H]1C(=[N+]=[N-])[P](=O)(OC)OC)C(C)C,11.022,0.5,0.3,10.1039/D0CC03201H,IA
1967,1967,CC(=O)c1cccc(c1)[C@@H](CCc2ccccc2)CC(=O)NC(C)(C)c3ccccn3,9.9,0.6,0.3,10.1002/anie.201804197,IA
1968,1968,CC(=O)c1cccc(c1)[C@H](CCc2ccccc2)CC(=O)NC(C)(C)c3ccccn3,11.2,0.6,0.3,10.1002/anie.201804197,IA
2003,2003,CC[C@H]1NC(=O)c2ccccc12,10.4,0.8,0.1,10.1021/acs.orglett.0c00669,IA
2004,2004,CC[C@@H]1NC(=O)c2ccccc12,11.3,0.8,0.1,10.1021/acs.orglett.0c00669,IA
2023,2023,CCOC(=O)N1C=C(c2ccccc2)c3ccccc3[C@@H]1C(=[N+]=[N-])C(=O)OCC,13.381,0.5,0.1,10.1039/D0CC03201H,IA
2024,2024,CCOC(=O)N1C=C(c2ccccc2)c3ccccc3[C@H]1C(=[N+]=[N-])C(=O)OCC,11.378,0.5,0.1,10.1039/D0CC03201H,IA
2070,2070,Cc1ccccc1[C@H]2CCC(=O)N2,13.2,0.8,0.1,10.1021/acs.orglett.0c00669,IA
2071,2071,Cc1ccccc1[C@@H]2CCC(=O)N2,11.5,0.8,0.1,10.1021/acs.orglett.0c00669,IA
2122,2122,CC(C)(C)N1C(=O)C[C@@]2(N(C(=O)c3ccc(C=O)cc23)c4cccc5cccnc45)C1=O,9.4,1.0,0.4,10.1002/anie.202108853,IA
2123,2123,CC(C)(C)N1C(=O)C[C@]2(N(C(=O)c3ccc(C=O)cc23)c4cccc5cccnc45)C1=O,11.7,1.0,0.4,10.1002/anie.202108853,IA
2124,2124,COC(=O)CNC(=O)CN(C(=O)c1ccccn1)c2c(CC(=C)C(=O)OC3C[C@@H]4CC[C@]3(C)C4(C)C)cccc2C(C)C,28.6,0.8,0.3,10.1021/acs.orglett.1c03967,IA
2139,2139,C[C@H]1NC(=O)c2cc(Br)ccc12,10.5,0.8,0.1,10.1021/acs.orglett.0c00669,IA
2140,2140,C[C@@H]1NC(=O)c2cc(Br)ccc12,11.7,0.8,0.1,10.1021/acs.orglett.0c00669,IA
2163,2163,CCOC(=O)N1C=Cc2cc(CC)ccc2[C@@H]1C(=[N+]=[N-])[P](=O)(OC)OC,22.588,0.5,0.3,10.1039/D0CC03201H,IA
2164,2164,CCOC(=O)N1C=Cc2cc(CC)ccc2[C@H]1C(=[N+]=[N-])[P](=O)(OC)OC,11.772,0.5,0.3,10.1039/D0CC03201H,IA
2196,2196,CC(C)O[P](=O)(OC(C)C)C(=[N+]=[N-])[C@](O)(C(=O)OC(C)(C)C)c1ccccc1,10.555,0.5,0.1,10.1021/acs.orglett.7b00128,IA
2197,2197,CC(C)O[P](=O)(OC(C)C)C(=[N+]=[N-])[C@@](O)(C(=O)OC(C)(C)C)c1ccccc1,11.827,0.5,0.1,10.1021/acs.orglett.7b00128,IA
2218,2218,CCOC(=O)N1C=Cc2cc(C)ccc2[C@@H]1C(=[N+]=[N-])[P](=O)(OC)OC,20.506,0.5,0.3,10.1039/D0CC03201H,IA
2219,2219,CCOC(=O)N1C=Cc2cc(C)ccc2[C@H]1C(=[N+]=[N-])[P](=O)(OC)OC,11.93,0.5,0.3,10.1039/D0CC03201H,IA
2222,2222,C[C@H]1C(=O)NCCc2cc(Br)ccc12,10.064,1.0,0.2,10.1039/D0CC06311H,IA
2223,2223,C[C@@H]1C(=O)NCCc2cc(Br)ccc12,11.931,1.0,0.2,10.1039/D0CC06311H,IA
2246,2246,COc1cccc(c1)C(/C)=C/[C@@H]2CC(CN2C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)(c4ccccc4)c5ccccc5,14.34,0.7,0.05,10.1002/anie.201900955,IA
2247,2247,COc1cccc(c1)C(/C)=C/[C@H]2CC(CN2C(=S)Nc3cc(cc(c3)C(F)(F)F)C(F)(F)F)(c4ccccc4)c5ccccc5,12.02,0.7,0.05,10.1002/anie.201900955,IA
2256,2256,CCOC(=O)N1C=Cc2cc(F)ccc2[C@@H]1C(=[N+]=[N-])[P](=O)(OC)OC,16.756,0.5,0.3,10.1039/D0CC03201H,IA
2257,2257,CCOC(=O)N1C=Cc2cc(F)ccc2[C@H]1C(=[N+]=[N-])[P](=O)(OC)OC,12.071,0.5,0.3,10.1039/D0CC03201H,IA
2281,2281,COc1ccc(cc1)[C@@H]2[C@@H](CCCN2Cc3ccccc3)N4C(=O)c5ccccc5C4=O,10.391,0.8,0.15,10.1021/acs.orglett.0c03261,IA
2284,2284,CCOC(=O)N1C=Cc2cc(ccc2[C@@H]1C(=[N+]=[N-])C(=O)OCC)C(C)(C)C,17.314,0.5,0.1,10.1039/D0CC03201H,IA
2285,2285,CCOC(=O)N1C=Cc2cc(ccc2[C@H]1C(=[N+]=[N-])C(=O)OCC)C(C)(C)C,12.137,0.5,0.1,10.1039/D0CC03201H,IA
2287,2287,CCOC(=O)N1C=Cc2ccccc2[C@@H]1C(=[N+]=[N-])C(=O)OC(C)C,14.29,0.5,0.1,10.1039/D0CC03201H,IA
2288,2288,CCOC(=O)N1C=Cc2ccccc2[C@H]1C(=[N+]=[N-])C(=O)OC(C)C,12.163,0.5,0.1,10.1039/D0CC03201H,IA
2301,2301,COc1ccc(cc1)C(=O)N[C@H](CC(F)(F)F)c2c[nH]c3ccc(Cl)cc23,9.0,1.0,0.2,10.1039/D1SC06613G,IA
2302,2302,COc1ccc(cc1)C(=O)N[C@@H](CC(F)(F)F)c2c[nH]c3ccc(Cl)cc23,12.2,1.0,0.2,10.1039/D1SC06613G,IA
2339,2339,COc1ccc(cc1)C(=O)N[C@H](CC(F)(F)F)c2c[nH]c3ccc(Br)cc23,8.9,1.0,0.2,10.1039/D1SC06613G,IA
2340,2340,COc1ccc(cc1)C(=O)N[C@@H](CC(F)(F)F)c2c[nH]c3ccc(Br)cc23,12.3,1.0,0.2,10.1039/D1SC06613G,IA
2349,2349,CCOC(=O)N1C=Cc2cc(Cl)ccc2[C@@H]1C(=[N+]=[N-])[P](=O)(OC)OC,22.346,0.5,0.3,10.1039/D0CC03201H,IA
2350,2350,CCOC(=O)N1C=Cc2cc(Cl)ccc2[C@H]1C(=[N+]=[N-])[P](=O)(OC)OC,12.315,0.5,0.3,10.1039/D0CC03201H,IA
2358,2358,CCOC(=O)N1C=Cc2cc(Br)ccc2[C@@H]1C(=[N+]=[N-])[P](=O)(OC)OC,25.687,0.5,0.3,10.1039/D0CC03201H,IA
2359,2359,CCOC(=O)N1C=Cc2cc(Br)ccc2[C@H]1C(=[N+]=[N-])[P](=O)(OC)OC,12.392,0.5,0.3,10.1039/D0CC03201H,IA
2370,2370,CCOC(=O)N1C=Cc2ccccc2[C@@H]1C(=[N+]=[N-])[P](=O)(OC)OC,14.825,0.5,0.3,10.1039/D0CC03201H,IA
2371,2371,CCOC(=O)N1C=Cc2ccccc2[C@H]1C(=[N+]=[N-])[P](=O)(OC)OC,12.409,0.5,0.3,10.1039/D0CC03201H,IA
2378,2378,FC(F)(F)C[C@@]1(CC(=NO1)c2ccc3ccccc3c2)c4ccccc4,9.94,0.8,0.15,10.1002/anie.201804315,IA
2379,2379,FC(F)(F)C[C@]1(CC(=NO1)c2ccc3ccccc3c2)c4ccccc4,12.46,0.8,0.15,10.1002/anie.201804315,IA
2417,2417,CC1(C)CN(C(=O)Nc2ccccc2C(F)(F)F)[C@@](CC(F)(F)F)(C1)c3ccccc3,10.58,0.5,0.1,10.1021/jacs.6b04077,IA
2418,2418,CC1(C)CN(C(=O)Nc2ccccc2C(F)(F)F)[C@](CC(F)(F)F)(C1)c3ccccc3,12.6,0.5,0.1,10.1021/jacs.6b04077,IA
2455,2455,O=C1CC[C@@H](N1)c2ccccc2,13.9,0.8,0.1,10.1021/acs.orglett.0c00669,IA
2456,2456,O=C1CC[C@H](N1)c2ccccc2,12.7,0.8,0.1,10.1021/acs.orglett.0c00669,IA
2491,2491,CCOC(=O)N1C=Cc2cc(OC)ccc2[C@@H]1C(=[N+]=[N-])[P](=O)(OC)OC,23.653,0.5,0.3,10.1039/D0CC03201H,IA
2492,2492,CCOC(=O)N1C=Cc2cc(OC)ccc2[C@H]1C(=[N+]=[N-])[P](=O)(OC)OC,12.824,0.5,0.3,10.1039/D0CC03201H,IA
2521,2521,CN(C)C(=O)c1cccc(c1)[C@]2(CC(F)(F)F)CC3(CCCC3)CO2,16.09,1.0,0.1,10.1002/anie.201702925,IA
2522,2522,CN(C)C(=O)c1cccc(c1)[C@@]2(CC(F)(F)F)CC3(CCCC3)CO2,12.92,1.0,0.1,10.1002/anie.201702925,IA
2539,2539,Cc1ccc(cc1)[C@H]2CCC(=O)N2,13.7,0.8,0.1,10.1021/acs.orglett.0c00669,IA
2540,2540,Cc1ccc(cc1)[C@@H]2CCC(=O)N2,13.0,0.8,0.1,10.1021/acs.orglett.0c00669,IA
2541,2541,Fc1ccc(cc1)[C@H]2CCC(=O)N2,13.7,0.8,0.1,10.1021/acs.orglett.0c00669,IA
2542,2542,Fc1ccc(cc1)[C@@H]2CCC(=O)N2,13.0,0.8,0.1,10.1021/acs.orglett.0c00669,IA
2586,2586,C[C@H]1NC(=O)c2ccc(C)cc12,14.4,0.8,0.1,10.1021/acs.orglett.0c00669,IA
2587,2587,C[C@@H]1NC(=O)c2ccc(C)cc12,13.2,0.8,0.1,10.1021/acs.orglett.0c00669,IA
2605,2605,CCOC(=O)N1C=Cc2ccccc2[C@@H]1C(=[N+]=[N-])C(=O)OCC,15.992,0.5,0.1,10.1039/D0CC03201H,IA
2606,2606,CCOC(=O)N1C=Cc2ccccc2[C@H]1C(=[N+]=[N-])C(=O)OCC,13.286,0.5,0.1,10.1039/D0CC03201H,IA
2631,2631,CCOC(=O)N1C=Cc2cc(ccc2[C@@H]1C(=[N+]=[N-])C(=O)OCC)C(C)C,17.267,0.5,0.1,10.1039/D0CC03201H,IA
2632,2632,CCOC(=O)N1C=Cc2cc(ccc2[C@H]1C(=[N+]=[N-])C(=O)OCC)C(C)C,13.358,0.5,0.1,10.1039/D0CC03201H,IA
2633,2633,CCOC(=O)N1C=Cc2ccc(Br)cc2[C@@H]1C(=[N+]=[N-])[P](=O)(OC)OC,12.273,0.5,0.3,10.1039/D0CC03201H,IA
2634,2634,CCOC(=O)N1C=Cc2ccc(Br)cc2[C@H]1C(=[N+]=[N-])[P](=O)(OC)OC,13.385,0.5,0.3,10.1039/D0CC03201H,IA
2691,2691,CO[P](=O)(OC)C(=[N+]=[N-])[C@@]1(NC(=O)OC(C)(C)C)C(=O)Nc2ccccc12,15.536,0.5,0.3,10.1021/acs.orglett.6b02095,IA
2692,2692,CO[P](=O)(OC)C(=[N+]=[N-])[C@]1(NC(=O)OC(C)(C)C)C(=O)Nc2ccccc12,13.513,0.5,0.3,10.1021/acs.orglett.6b02095,IA
2708,2708,COCN1C(=O)[C@@](NC(=O)OC(C)(C)C)(c2ccccc12)C(=[N+]=[N-])[P](=O)(OC)OC,11.631,0.5,0.3,10.1021/acs.orglett.6b02095,IA
2709,2709,COCN1C(=O)[C@](NC(=O)OC(C)(C)C)(c2ccccc12)C(=[N+]=[N-])[P](=O)(OC)OC,13.589,0.5,0.3,10.1021/acs.orglett.6b02095,IA
2716,2716,CC(C)(NC(=O)C[C@@H]1CCOc2ccc(Br)cc12)c3ccccn3,15.9,1.0,0.2,10.1039/D1QO00302J,IA
2717,2717,CC(C)(NC(=O)C[C@H]1CCOc2ccc(Br)cc12)c3ccccn3,13.6,1.0,0.2,10.1039/D1QO00302J,IA
2734,2734,CCOC(=O)N1C=Cc2cc(CC)ccc2[C@@H]1C(=[N+]=[N-])C(=O)OCC,17.727,0.5,0.1,10.1039/D0CC03201H,IA
2735,2735,CCOC(=O)N1C=Cc2cc(CC)ccc2[C@H]1C(=[N+]=[N-])C(=O)OCC,13.646,0.5,0.1,10.1039/D0CC03201H,IA
2737,2737,CCOC(=O)N1C=Cc2c(OC)cccc2[C@@H]1C(=[N+]=[N-])[P](=O)(OC)OC,15.823,0.5,0.3,10.1039/D0CC03201H,IA
2738,2738,CCOC(=O)N1C=Cc2c(OC)cccc2[C@H]1C(=[N+]=[N-])[P](=O)(OC)OC,13.686,0.5,0.3,10.1039/D0CC03201H,IA
2741,2741,CCOC(=O)N1C=Cc2ccccc2[C@H]1C(=N/N)/[P](=O)(OC)OC,16.348,0.5,0.3,10.1039/D0CC03201H,IA
2742,2742,CCOC(=O)N1C=Cc2ccccc2[C@@H]1C(=N/N)/[P](=O)(OC)OC,13.699,0.5,0.3,10.1039/D0CC03201H,IA
2800,2800,CCO[P](=O)(OCC)C(=[N+]=[N-])[C@@]1(NC(=O)OC(C)(C)C)C(=O)N(C)c2ccccc12,10.6,0.5,0.3,10.1021/acs.orglett.6b02095,IA
2801,2801,CCO[P](=O)(OCC)C(=[N+]=[N-])[C@]1(NC(=O)OC(C)(C)C)C(=O)N(C)c2ccccc12,13.818,0.5,0.3,10.1021/acs.orglett.6b02095,IA
2822,2822,CCOC(=O)N1C=Cc2ccc(OC)cc2[C@@H]1C(=[N+]=[N-])[P](=O)(OC)OC,17.229,0.5,0.3,10.1039/D0CC03201H,IA
2823,2823,CCOC(=O)N1C=Cc2ccc(OC)cc2[C@H]1C(=[N+]=[N-])[P](=O)(OC)OC,13.901,0.5,0.3,10.1039/D0CC03201H,IA
2824,2824,CO[P](=O)(OC)C(=[N+]=[N-])[C@](O)(C(=O)OC(C)(C)C)c1cccc(c1)C(F)(F)F,12.423,0.5,0.1,10.1021/acs.orglett.7b00128,IA
2825,2825,CO[P](=O)(OC)C(=[N+]=[N-])[C@@](O)(C(=O)OC(C)(C)C)c1cccc(c1)C(F)(F)F,13.914,0.5,0.1,10.1021/acs.orglett.7b00128,IA
2834,2834,CO[P](=O)(OC)C(=[N+]=[N-])[C@](O)(C(=O)OC(C)(C)C)C(C)(C)C,12.143,0.5,0.1,10.1021/acs.orglett.7b00128,IA
2835,2835,CO[P](=O)(OC)C(=[N+]=[N-])[C@@](O)(C(=O)OC(C)(C)C)C(C)(C)C,13.997,0.5,0.1,10.1021/acs.orglett.7b00128,IA
2843,2843,CCOC(=O)N1C=Cc2ccccc2[C@@H]1C(=[N+]=[N-])C(=O)OC,16.943,0.5,0.1,10.1039/D0CC03201H,IA
2844,2844,CCOC(=O)N1C=Cc2ccccc2[C@H]1C(=[N+]=[N-])C(=O)OC,14.009,0.5,0.1,10.1039/D0CC03201H,IA
2883,2883,CCOC(=O)N1C=Cc2c(OC)cccc2[C@@H]1C(=[N+]=[N-])C(=O)OCC,17.381,0.5,0.1,10.1039/D0CC03201H,IA
2884,2884,CCOC(=O)N1C=Cc2c(OC)cccc2[C@H]1C(=[N+]=[N-])C(=O)OCC,14.147,0.5,0.1,10.1039/D0CC03201H,IA
2886,2886,CCOC(=O)N1C=Cc2c(cccc2[N+]([O-])=O)[C@@H]1C(=[N+]=[N-])[P](=O)(OC)OC,17.264,0.5,0.3,10.1039/D0CC03201H,IA
2887,2887,CCOC(=O)N1C=Cc2c(cccc2[N+]([O-])=O)[C@H]1C(=[N+]=[N-])[P](=O)(OC)OC,14.183,0.5,0.3,10.1039/D0CC03201H,IA
2901,2901,Fc1ccc(F)c(c1)[C@H]2CCC(=O)N2,12.4,0.8,0.1,10.1021/acs.orglett.0c00669,IA
2902,2902,Fc1ccc(F)c(c1)[C@@H]2CCC(=O)N2,14.2,0.8,0.1,10.1021/acs.orglett.0c00669,IA
